INFO:__main__:Running stego_core.py
INFO:__main__:Loading colorwheel.png
DEBUG:PIL.PngImagePlugin:STREAM b'IHDR' 16 13
DEBUG:PIL.PngImagePlugin:STREAM b'IDAT' 41 65536
INFO:__main__:Converting to RGBAPixelArray
INFO:__main__:Encoding message
DEBUG:__main__:Column 0: offset 0
DEBUG:__main__: [c23] Pixel 355: 1
DEBUG:__main__: [c23] Pixel 392: 1
DEBUG:__main__: [c23] Pixel 429: 0
DEBUG:__main__: [c23] Pixel 466: 0
DEBUG:__main__: [c23] Pixel 503: 1
DEBUG:__main__: [c23] Pixel 540: 1
DEBUG:__main__: [c23] Pixel 577: 1
DEBUG:__main__: [c23] Pixel 614: 0
DEBUG:__main__: [c23] Pixel 651: 0
DEBUG:__main__: [c23] Pixel 688: 1
DEBUG:__main__: [c23] Pixel 725: 0
DEBUG:__main__:Finished column 23 with offset 6
DEBUG:__main__:Column 24: offset 6
DEBUG:__main__:Column 24: start index 31
DEBUG:__main__: [c24] Pixel 31: 1
